"ItemID","Path","FieldId","Key","Phrase","TranslatedPhrase"
"{6192B98A-E907-440B-9E46-15E09759DAD9}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Media Audit/Media items without associated files","__Short description","Media items without associated files","Report on media items that reference a missing file.",""
"{1B9B69BB-9874-4418-89DF-C411E7A2E6CA}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Media Audit/Unused media items","__Short description","Unused media items","Report on media items that are not referenced by any other item. Requires the Link Database to be up-to-date.",""
"{CA464755-FCD5-434B-A989-054C512E2DEE}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Solution Audit/Apply security to roles rather than users","__Short description","Apply security to roles rather than users","Report on items where security is explicitly set for a user rather than a role. Filter by a root item.",""
"{E3BFF71B-2E1E-4DC4-BA01-7746F621CDAA}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Solution Audit/Assign icons to templates","__Short description","Assign icons to templates","Report on items where no icon has been configured. Filter by a root item.",""
"{8ECC55A1-B9D9-418F-9ECC-0D25BC59121F}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Solution Audit/Break inheritance - do not deny","__Short description","Break inheritance - do not deny","Report on items where security is explicitly set to deny rather than breaking inheritance. Filter by a root item.",""
"{8ECC55A1-B9D9-418F-9ECC-0D25BC59121F}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Solution Audit/Break inheritance - do not deny","__Display name","Break inheritance - do not deny","Break inheritance rather than explicitly deny access rights",""
"{4ED80E5E-F349-4642-BFCA-D52BD30EAF56}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Solution Audit/How many of each custom template is used","__Short description","How many of each custom template is used","Report on how many times a custom template is used.",""
"{4ED80E5E-F349-4642-BFCA-D52BD30EAF56}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Solution Audit/How many of each custom template is used","__Display name","How many of each custom template is used","How many of each custom template is used?",""
"{558614B3-03C1-4E7B-86DE-AB5508C990EF}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Solution Audit/How many of which field types are used","__Short description","How many of which field types are used","Report on how many times a field type is used by templates. Filter by a root item.",""
"{558614B3-03C1-4E7B-86DE-AB5508C990EF}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Solution Audit/How many of which field types are used","__Display name","How many of which field types are used","How many of which field types are used?",""
"{2B6A200B-3752-4827-BCE9-40F4F5F4C8D4}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Solution Audit/How many times is each rendering used","__Short description","How many times is each rendering used","Report on how many times a rendering is used.",""
"{2B6A200B-3752-4827-BCE9-40F4F5F4C8D4}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Solution Audit/How many times is each rendering used","__Display name","How many times is each rendering used","How many times is each rendering used?",""
"{DE79022D-391F-4EE5-AF89-22AA6A6FE311}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Solution Audit/Image Fields","__Short description","Image Fields","Report on templates using an image field type. Filter by a root item.",""
"{DE79022D-391F-4EE5-AF89-22AA6A6FE311}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Solution Audit/Image Fields","__Display name","Image Fields","Image Fields - define the source field to show the point in the media library that is relevant to the item being created",""
