"ItemID","Path","FieldId","Key","Phrase","TranslatedPhrase"
"{61E519DA-83FA-40F4-9895-2C04CBBFFA65}","/sitecore/system/Dictionary/PowerShell/E/Error while rendering this editor","Phrase","Error while rendering this editor","Error while rendering this editor","Fejl ved rendering af denne editor"
"{701479AE-13AD-4121-B003-9AE31665BFD9}","/sitecore/system/Dictionary/PowerShell/E/Execution prevented!","Phrase","Execution prevented!","Execution prevented!","Udførelse forhindret!"
"{08BB1CF2-126E-4BEF-B063-FFB6F04BCBE3}","/sitecore/system/Dictionary/PowerShell/I/ID b0b","Phrase","ID b0b","ID: <b>{0}</b>","ID: <b>{0}</b>"
"{8261B13F-12DA-4BCF-8D43-8C0B29FBEE84}","/sitecore/system/Dictionary/PowerShell/I/if you no longer require it For more information refer to","Phrase","if you no longer require it For more information refer to","if you no longer require it. For more information, refer to","Hvis du ikke længere har behov for det. For mere information, se venligst"
"{3D896592-9321-4478-A92B-FDE215282B48}","/sitecore/system/Dictionary/PowerShell/I/If you were sent to this page from a link obtained from an untrusted source please proceed with ca","Phrase","If you were sent to this page from a link obtained from an untrusted source please proceed with ca","If you were sent to this page from a link obtained from an untrusted source please proceed with caution or validate the link source before continuing.","Hvis du blev sendt til denne side fra et link som du har fået fra en usikker kilde, fortsæt da med forsigtighed eller valider kilden til linket før du fortsætter."
"{40CBB383-A9D6-4A30-AA70-113D05757397}","/sitecore/system/Dictionary/PowerShell/I/Invert selection","Phrase","Invert selection","Invert selection","Inverter det valgte"
"{CE2C7D1A-C68F-403D-9620-1C7836189F0B}","/sitecore/system/Dictionary/PowerShell/L/Location b0b","Phrase","Location b0b","Location: <b>{0}</b>","Placering: <b>{0}</b>"
"{20C42397-EF41-4749-9965-A8D3964097E6}","/sitecore/system/Dictionary/PowerShell/M/Most Recently opened scripts","Phrase","Most Recently opened scripts","Most Recently opened scripts:","De sidste åbne scripts:"
"{ADC39AE3-C6A7-4532-B339-D748C0FA8E01}","/sitecore/system/Dictionary/PowerShell/N/No items available","Phrase","No items available","No items available","Ingen elementer tilgængelig"
"{45F3918E-201B-4DE3-9E9D-19A9517AFC6B}","/sitecore/system/Dictionary/PowerShell/N/No scripts foundDo you need to re-index your databases","Phrase","No scripts foundDo you need to re-index your databases","No scripts found...Do you need to re-index your databases?","Ingen scripts fundet... Måske skal du re-indeksere din database?"
"{84C86B9B-416A-4619-92F7-ECE62262FF6E}","/sitecore/system/Dictionary/PowerShell/O/Open Script","Phrase","Open Script","Open Script","Åbn script"
"{B5C9C506-4EC0-4EB1-AF2B-15CF93CC9C70}","/sitecore/system/Dictionary/PowerShell/O/Operation","Phrase","Operation","Operation:","Handling:"
"{59AD84CD-DBB2-445D-85AE-35BBDD209BAA}","/sitecore/system/Dictionary/PowerShell/O/Operation cannot be performed due to session elevation restrictions Elevate your session and try a","Phrase","Operation cannot be performed due to session elevation restrictions Elevate your session and try a","Operation cannot be performed due to session elevation restrictions. Elevate your session and try again.","Handlingen kan ikke gennemføres på grund af begrænsning i sessionens forhøjede rettigheder. Forhøj din session og prøv igen."
"{9C093D91-313A-4A93-9E82-F67F629F9286}","/sitecore/system/Dictionary/PowerShell/P/Performing 0 action on a script requires an elevated session state","Phrase","Performing 0 action on a script requires an elevated session state","Performing '{0}' action on a script requires an elevated session state.","Udførelsen af '{0}' på et script, kræver en forhøjede session."
"{8AC68939-310B-41F5-84CF-C817C8E5A34B}","/sitecore/system/Dictionary/PowerShell/P/Pick the settings for the module that you will be creating","Phrase","Pick the settings for the module that you will be creating","Pick the settings for the module that you will be creating and the integration points to include in it.","Vælg opsætning for det modul du vil lave og integrationspunkter til inkludering i dette."
"{10FECDC6-B129-455C-8B9F-EB3B89F24150}","/sitecore/system/Dictionary/PowerShell/P/Please wait 0","Phrase","Please wait 0","Please wait, {0}","Vent venligst, {0}"
"{7EE1B5CB-6CC4-4D76-871A-04EB833CB896}","/sitecore/system/Dictionary/PowerShell/P/PowerShell Message","Phrase","PowerShell Message","PowerShell Message","PowerShell besked"
"{90B187D0-8FF1-4E07-BDAC-F8B14D4B89D7}","/sitecore/system/Dictionary/PowerShell/P/Progress","Phrase","Progress","Progress","Fremskridt"
"{98B64807-5DE6-470C-A342-3F03D70CC8C1}","/sitecore/system/Dictionary/PowerShell/R/Recent and enabled languages","Phrase","Recent and enabled languages","Recent and enabled languages","Seneste og tilgængelige sprog"
"{4D27C10D-3397-470D-9835-C9C31AB5D380}","/sitecore/system/Dictionary/PowerShell/R/Recent Users","Phrase","Recent Users","Recent Users","Seneste brugerer"
"{D7CBE4BF-8AB6-44C2-B399-589AD6648FE3}","/sitecore/system/Dictionary/PowerShell/R/remaining","Phrase","remaining","remaining","tilbage"
"{113BD007-EA40-4D78-9498-ABD8BBAB9A6E}","/sitecore/system/Dictionary/PowerShell/R/Running script","Phrase","Running script","Running script...","Kører script..."
"{065E0E9F-8E39-4463-9AB0-64537051802F}","/sitecore/system/Dictionary/PowerShell/S/Script cannot be executed as it is of a wrong data template!","Phrase","Script cannot be executed as it is of a wrong data template!","Script cannot be executed as it is of a wrong data template!","Scriptet kan ikke blive eksekveret, fordi det er fra en forkert data template!"
"{932E0C3D-028E-4673-B80E-C7EB6C32BCA3}","/sitecore/system/Dictionary/PowerShell/S/Script defined 0","Phrase","Script defined 0","Script defined: {0}","Definerede script: {0}"
"{0A2F3A5A-26C4-4006-AFCC-BE769F2799C4}","/sitecore/system/Dictionary/PowerShell/S/Script Execution Result","Phrase","Script Execution Result","Script Execution Result...","Resultatet af script udførelsen..."
"{F50C8024-5354-4F9B-8F1E-917D62528F90}","/sitecore/system/Dictionary/PowerShell/S/Script finished - no results to display","Phrase","Script finished - no results to display","Script finished - no results to display.","Script afsluttet - intet resultat at vise."
"{688F98E9-6406-4C67-8AE6-F6A264E0DF44}","/sitecore/system/Dictionary/PowerShell/S/Script name to search for - prefix with eg master to narrow to specific database","Phrase","Script name to search for - prefix with eg master to narrow to specific database","Script name to search for - prefix with e.g. 'master:' to narrow to specific database","Scriptets navn til brug for søgning - prefix med 'master:' for at begrænse det til en specifik database"
"{47335F2C-DA16-4D0D-B677-3161A7272500}","/sitecore/system/Dictionary/PowerShell/S/Script parameters","Phrase","Script parameters","Script parameters","Scriptparametre"
"{63E9FA98-4897-4073-B959-1179442945B8}","/sitecore/system/Dictionary/PowerShell/S/Script with that name already exists are you sure you want to overwrite the script","Phrase","Script with that name already exists are you sure you want to overwrite the script","Script with that name already exists, are you sure you want to overwrite the script?","Et script med dette navn findes allerede, er du sikker på du vil overskrive dette script?"
"{961629F0-E691-48F0-A77B-B2F350C365EA}","/sitecore/system/Dictionary/PowerShell/S/Scripts matching 0 in 1 database","Phrase","Scripts matching 0 in 1 database","Scripts matching: '{0}' in '{1}*' database","Scriptsammenligning: '{0}' i '{1}*' database"
"{BB233C12-42AC-4C20-B1B1-01469D758435}","/sitecore/system/Dictionary/PowerShell/S/Scripts matching 0 in all databases","Phrase","Scripts matching 0 in all databases","Scripts matching: '{0}' in all databases","Scriptsammeligning: '{0}' i alle databaser"
"{EC14642E-F15F-42A4-9DB2-F56C033114A6}","/sitecore/system/Dictionary/PowerShell/S/Select a library where you want your script saved and specify a name for your script","Phrase","Select a library where you want your script saved and specify a name for your script","Select a library where you want your script saved and specify a name for your script.","Vælg et bibliotek hvor du ønsker dit script gemt og angiv et navn til det."
"{69B8A3D6-F404-4B57-B5C8-C233B8047178}","/sitecore/system/Dictionary/PowerShell/S/Select a script you want to open","Phrase","Select a script you want to open","Select a script you want to open.","Vælg et script du ønsker at åbne."
"{5CD9DE2B-CBB6-4DE5-BAE7-6FA464F9E802}","/sitecore/system/Dictionary/PowerShell/S/Select Script Library","Phrase","Select Script Library","Select Script Library","Scriptbibliotek"
"{2CE2707D-0E00-40DF-9B5F-0B44514E4AC3}","/sitecore/system/Dictionary/PowerShell/S/Select the Library that you want to save your script to","Phrase","Select the Library that you want to save your script to","Select the Library that you want to save your script to.","Vælg et bibliotek du ønsker at gemme dit script i."
"{228B7308-1D19-40A1-8A14-67852EE17866}","/sitecore/system/Dictionary/PowerShell/S/Select the script item that you want to open","Phrase","Select the script item that you want to open","Select the script item that you want to open.","Vælg script elementet du ønsker at åbne."
"{7DB1CCE5-839A-4DA4-931C-C41E94422C12}","/sitecore/system/Dictionary/PowerShell/S/Session privilege elevation is blocked and you cannot run scripts in Console","Phrase","Session privilege elevation is blocked and you cannot run scripts in Console","Session privilege elevation is blocked and you cannot run scripts in Console.","Sessionens forhøjelse af rettigheder er blokkerede og du kan derfor ikke afvikle script i konsollen."
"{34FFA31F-746E-4B42-959F-D714173CB1B8}","/sitecore/system/Dictionary/PowerShell/S/Session privilege elevation is blocked and you cannot run scripts in ISE","Phrase","Session privilege elevation is blocked and you cannot run scripts in ISE","Session privilege elevation is blocked and you cannot run scripts in ISE.","Sessionens forhøjelse af rettigheder er blokkerede og du kan derfor ikke afvikle script i ISE."
"{071937CD-8EA2-44C0-8A16-B11F5D9C6EDA}","/sitecore/system/Dictionary/PowerShell/S/Sessions in memory","Phrase","Sessions in memory","Sessions in memory","Sessioner i hukommelsen"
"{64398AE9-580B-4597-907B-CF979E64646A}","/sitecore/system/Dictionary/PowerShell/S/Show copyright","Phrase","Show copyright","Show copyright..","Vis copyright.."
"{3B60BB2D-A9B5-4E70-B2FC-53B9B96F218C}","/sitecore/system/Dictionary/PowerShell/S/Single execution","Phrase","Single execution","Single execution","Enkelt udførelse"
"{34F787CF-B77A-4057-BDFF-388B23FA0D29}","/sitecore/system/Dictionary/PowerShell/S/Size","Phrase","Size","Size:","Størrelse:"
"{B4F9B3B2-9B16-451C-8F03-5BAC943776A7}","/sitecore/system/Dictionary/PowerShell/S/Specify a name for your script","Phrase","Specify a name for your script","Specify a name for your script.","Angiv et navn til dit script."
"{283BAB5C-C232-49BC-B9B8-16AA18CE8AE6}","/sitecore/system/Dictionary/PowerShell/S/Status","Phrase","Status","Status:","Status:"
