"ItemID","Path","FieldId","Key","Phrase","TranslatedPhrase"
"{EE368C71-B105-4B26-B938-60BEBC0E47E8}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Core","__Long description","Core","No touchy! If you start messing around with the scripts in here the module will break in powerful ways.","Rør ikke! Hvis du starter med at rode rundt med disse scripts der ligger her, vil modulet med sikkerhed blive totalskadet."
"{5E1F1B3B-EF89-4D00-82E2-36629DA4F3AD}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Maintenance","__Long description","Maintenance","Bundle of maintenance scripts that can assist you in keeping your solution running solid.","En samling af vedligeholdelsesscripts, som kan assistere dig med at holde din løsning solidt kørende."
"{1CED8E94-0458-4E3A-8CEE-38F7EFA93E15}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting","__Long description","Reporting","Bundle of reports to help you learn more about the content being managed.","En samling af rapporter, som hjælper dig med at lære dig mere om det styrede indhold."
"{F15B3095-FF78-444B-97EE-5AE9AE7BBB59}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Samples","__Long description","Samples","Bundle of sample scripts to help you learn more about SPE.","En samling af eksempeler på scripts, som hjælper dig med at lære mere om SPE."
"{486437B1-8A1D-4184-BC07-5C394F7EA13C}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Tools","__Long description","Tools","Bundle of tools to help you save lots of time.","En samling af værktøjer, som hjælper dig med at spare en masse tid."
"{97909803-E651-41E4-A13A-BA1A831685B3}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Samples/Getting Started/User Interaction","__Display name","User Interaction","User Interaction - How to...","Brugerinteraktion - Hvordan..."
"{7760775F-0CE7-4A01-A4E5-1AB9103FFFD3}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Core/Platform/Toolbox/PowerShell Background Session Manager","__Short description","PowerShell Background Session Manager","Manage sessions created by PowerShell.","Styr sessioner lavet med PowerShell."
"{D5C7F7B5-524F-43B5-A19B-89247CF713DE}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Core/Platform/Toolbox/Rebuild script integration points","__Short description","Rebuild script integration points","Rebuild items generated for the ribbon, gutter and ...","Genbyg elementer, lavet for båndet, træstrukturen og ..."
"{EB994C17-44B1-4620-9DCF-DF046812F016}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Core/Platform/Toolbox/Re-create site from sitemap","__Short description","Re-create site from sitemap","Create content items based on a sitemap structure.","Laver indholdselementer baseret på en sitemapstruktur."
"{BBC64A41-D1FE-4C09-A76A-6A8E01B479D9}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Core/Platform/Toolbox/About Sitecore PowerShell Extensions","__Short description","About Sitecore PowerShell Extensions","View version details about SPE.","Vis versionsdetaljer om SPE."
"{E68879C2-E532-442D-AD98-A9955F3BBC70}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Maintenance/Task Management/Toolbox/Task Manager","__Short description","Task Manager","Managed scheduled tasks.","Styring af programsatte opgaver."
